Feature,F-Score,Kappa,Precision,Recall
stewart_suffered,0.01044932079414838,7.895549063659594E-4,1.0,0.005252100840336135
stewart_vs,0.01044932079414838,7.895549063659594E-4,1.0,0.005252100840336135
still,0.21831637372802962,-0.003198216751871685,0.9147286821705426,0.12394957983193278
still_<COMMA>,0.024870466321243522,-5.783731808356386E-5,0.9230769230769231,0.012605042016806723
still_a,0.028925619834710745,-0.001710839181116969,0.875,0.014705882352941176
still_available,0.016666666666666666,0.0012666973744818045,1.0,0.008403361344537815
still_be,0.018730489073881373,0.0014263177230782536,1.0,0.009453781512605041
still_expected,0.016666666666666666,0.0012666973744818045,1.0,0.008403361344537815
still_has,0.012526096033402923,9.483167377904324E-4,1.0,0.0063025210084033615
still_have,0.022845275181723784,0.001746422359979509,1.0,0.011554621848739496
still_in,0.014598540145985401,0.0011073639704031783,1.0,0.007352941176470588
still_keep,0.012526096033402923,9.483167377904324E-4,1.0,0.0063025210084033615
still_not,0.03508771929824561,0.002713704206241534,1.0,0.017857142857142856
still_on,0.006269592476489029,-0.0034309749567539224,0.6,0.0031512605042016808
still_one,0.01044932079414838,7.895549063659594E-4,1.0,0.005252100840336135
still_the,0.018730489073881373,0.0014263177230782536,1.0,0.009453781512605041
still_though,0.01044932079414838,7.895549063659594E-4,1.0,0.005252100840336135
still_too,0.012526096033402923,9.483167377904324E-4,1.0,0.0063025210084033615
still_under,0.0020898641588296763,-0.007651504819873819,0.2,0.0010504201680672268
still_very,0.012526096033402923,9.483167377904324E-4,1.0,0.0063025210084033615
stimulate,0.012526096033402923,9.483167377904324E-4,1.0,0.0063025210084033615
stingy,0.014598540145985401,0.0011073639704031783,1.0,0.007352941176470588
stirred,0.01044932079414838,7.895549063659594E-4,1.0,0.005252100840336135
stirred_and,0.01044932079414838,7.895549063659594E-4,1.0,0.005252100840336135
stl,0.06700507614213198,0.00534534932520485,1.0,0.03466386554621849
